,AS
0,0.9523809523809523
1,0.8809523809523809
2,0.9761904761904762
3,0.8333333333333334
4,0.9523809523809523
5,0.9047619047619048
6,0.9047619047619048
7,0.9285714285714286
8,0.9285714285714286
9,0.8809523809523809
10,0.9523809523809523
11,0.8809523809523809
12,0.9761904761904762
13,1.0
14,0.9523809523809523
15,0.9285714285714286
16,0.9523809523809523
17,0.8333333333333334
18,0.9761904761904762
19,0.8095238095238095
20,0.9523809523809523
21,0.9285714285714286
22,0.9285714285714286
23,0.9285714285714286
24,0.9761904761904762
25,1.0
26,0.9047619047619048
27,0.7857142857142857
28,0.9523809523809523
29,0.9523809523809523
30,0.8095238095238095
31,0.9523809523809523
32,0.9523809523809523
33,0.8333333333333334
34,0.8809523809523809
35,0.9523809523809523
36,0.9047619047619048
37,0.8809523809523809
38,0.9047619047619048
39,0.9523809523809523
40,0.9523809523809523
41,0.9523809523809523
42,0.9285714285714286
43,0.9047619047619048
44,0.9523809523809523
45,0.9047619047619048
46,0.9523809523809523
47,0.8809523809523809
48,0.9047619047619048
49,0.8809523809523809
50,1.0
51,0.9761904761904762
52,0.9523809523809523
53,0.8571428571428571
54,0.9285714285714286
55,0.9285714285714286
56,0.9523809523809523
57,0.8809523809523809
58,0.9523809523809523
59,0.9523809523809523
60,0.9285714285714286
61,0.9047619047619048
62,0.9761904761904762
63,0.9047619047619048
64,0.9523809523809523
65,0.8571428571428571
66,0.8809523809523809
67,0.8333333333333334
68,0.9523809523809523
69,0.8809523809523809
70,0.9523809523809523
71,0.8571428571428571
72,0.8571428571428571
73,0.8333333333333334
74,0.9523809523809523
75,0.9285714285714286
76,1.0
77,0.8809523809523809
78,0.9523809523809523
79,0.9523809523809523
80,0.8809523809523809
81,0.9047619047619048
82,0.8809523809523809
83,0.9047619047619048
84,0.8809523809523809
85,0.8809523809523809
86,0.9285714285714286
87,0.8571428571428571
88,0.9047619047619048
89,0.8571428571428571
90,0.9761904761904762
91,0.9761904761904762
92,0.8571428571428571
93,0.8809523809523809
94,0.8809523809523809
95,0.9285714285714286
96,0.9523809523809523
97,0.9047619047619048
98,0.9047619047619048
99,0.9285714285714286
