,F1_macro
0,0.9467141046088413
1,0.8694444444444445
2,0.9808899808899808
3,0.8207981737393503
4,0.9457421222127104
5,0.8944818622237977
6,0.8885003885003885
7,0.9068640068640068
8,0.9140037593984962
9,0.8569393569393569
10,0.9330812556619009
11,0.8748488748488749
12,0.9808899808899808
13,1.0
14,0.9467141046088413
15,0.9072927416580668
16,0.9457421222127104
17,0.8073365231259967
18,0.9642579642579642
19,0.8013838013838014
20,0.9457421222127104
21,0.9115758793178147
22,0.8936965811965812
23,0.9426699426699426
24,0.9642579642579642
25,1.0
26,0.8752300331247699
27,0.7614607614607615
28,0.9457421222127104
29,0.9479354354354355
30,0.7912964228753703
31,0.9467141046088413
32,0.9467141046088413
33,0.8193732193732193
34,0.8550280129227498
35,0.9467141046088413
36,0.9081162610574375
37,0.8557692307692308
38,0.8613282142693907
39,0.9457421222127104
40,0.9457421222127104
41,0.9457421222127104
42,0.9265120844068212
43,0.894646747587924
44,0.9457421222127104
45,0.8752300331247699
46,0.9616228070175438
47,0.8682983682983684
48,0.8752300331247699
49,0.8694444444444445
50,1.0
51,0.9808899808899808
52,0.9467141046088413
53,0.8565203859321507
54,0.9265120844068212
55,0.9265120844068212
56,0.9315476190476191
57,0.8748488748488749
58,0.9457421222127104
59,0.9457421222127104
60,0.9272690272690273
61,0.8748522277934043
62,0.9642579642579642
63,0.8885003885003885
64,0.9330812556619009
65,0.8359801488833747
66,0.8729764858797117
67,0.8089908089908091
68,0.9248366013071895
69,0.8557692307692308
70,0.9618736383442266
71,0.8547932330827068
72,0.8565203859321507
73,0.8157598499061912
74,0.9315476190476191
75,0.913068913068913
76,1.0
77,0.8708279708279708
78,0.9616228070175438
79,0.9457421222127104
80,0.8557692307692308
81,0.9087675765095119
82,0.8887662045556782
83,0.894646747587924
84,0.8557692307692308
85,0.8761904761904762
86,0.9072927416580668
87,0.8278879015721121
88,0.8748522277934043
89,0.8372263666381313
90,0.9658119658119658
91,0.9642579642579642
92,0.8372263666381313
93,0.8120857699805067
94,0.8569393569393569
95,0.9068640068640068
96,0.9457421222127104
97,0.8885003885003885
98,0.8728632478632479
99,0.9055944055944055
