Name,id,HOMO,LUMO,E_S1,f_S1,E_T1,dEST,Yield_2h,Yield_12h,Class
1CzTRZ,7a,-0.19896,-0.07101,3.8466,0.8053,3.3406,0.506,0,75,bad
1tBuCzTRZ,7b,-0.19256,-0.06941,3.7263,0.8412,3.262,0.4643,64,83,good
1DPATRZ,7c,-0.18787,-0.06162,3.5679,1.1245,2.9505,0.6174,80,81,very_good
1tBuDPATRZ,7d,-0.18284,-0.05984,3.5003,1.1631,2.8961,0.6042,62,88,good
1ClDPATRZ,7e,-0.19729,-0.06844,3.6208,1.1098,3.022,0.5988,58,90,good
1BrDPATRZ,7f,-0.19686,-0.06856,3.6187,1.1204,3.0285,0.5902,63,83,good
1OMeDPATRZ,7g,-0.17664,-0.05799,3.4672,1.1775,2.8529,0.6143,1,75,bad
1PhDPATRZ,7h,-0.18459,-0.06306,3.4632,1.226,2.9169,0.5463,71,85,good
1PTZTRZ,7i,-0.18237,-0.07461,3.5521,0.0001,3.4654,0.0867,13,88,good
2CzBP,8a,-0.20318,-0.07263,3.7105,0.018,3.2,0.5105,0,22,bad
2DPABP,8b,-0.18647,-0.05342,3.6146,1.1666,3.0476,0.567,41,80,good
2tBuDPABP,8c,-0.18033,-0.04947,3.555,1.2254,3.0124,0.5426,49,82,good
2MeDPABP,8d,-0.18065,-0.04943,3.5655,1.221,3.0017,0.5638,42,82,good
2ClDPABP,8e,-0.19983,-0.06696,3.6432,1.1914,3.0588,0.5844,11,82,good
2BrDPABP,8f,-0.19934,-0.06713,3.6379,1.2121,3.061,0.5769,30,74,bad
2PhDPABP,8g,-0.18364,-0.05648,3.4944,1.3802,3.0058,0.4886,53,83,good
2CzPN,9a,-0.21408,-0.09153,3.5258,0.1332,3.1202,0.4056,0,76,bad
2tBuCzPN,9b,-0.20513,-0.08754,3.3864,0.1163,3.0249,0.3615,53,86,good
2ClCzPN,9c,-0.22798,-0.10735,3.5481,0.1016,3.1826,0.3655,0,79,bad
1tBuDPAN,10a,-0.17692,-0.03796,3.7102,0.215,3.0394,0.6708,0,47,bad
PNZN,10b,-0.17142,-0.04905,3.5257,0.0,3.3342,0.1915,1,65,bad
PTZN,10c,-0.17982,-0.04987,3.7601,0.0003,3.3275,0.4326,1,74,bad
PhPTZN,10d,-0.17757,-0.05223,3.6243,0.4231,3.1182,0.5061,26,78,bad
CF3PTZN,10e,-0.18961,-0.0591,3.616,0.3568,3.1037,0.5123,10,76,bad
2DPAN,11a,-0.17654,-0.04474,3.4935,0.3989,2.8244,0.6691,11,70,bad
2tBuDPAN,11b,-0.17028,-0.04135,3.412,0.417,2.784,0.628,15,62,bad
2MeDPAN,11c,-0.16909,-0.04084,3.3763,0.3983,2.7522,0.6241,0,46,bad
2DPAA,12a,-0.17836,-0.06945,2.9743,0.2827,2.1241,0.8502,0,50,bad
2tBuDPAA,12b,-0.17252,-0.0666,2.8808,0.2787,2.1027,0.7781,0,45,bad
2MeDPAA,12c,-0.17204,-0.06625,2.8749,0.2705,2.1007,0.7742,0,73,bad
2OMeDPAA,12d,-0.16348,-0.0643,2.7221,0.2513,2.0389,0.6832,0,2,bad
3CzNB,13a,-0.20716,-0.08754,3.4182,0.0664,3.0551,0.3631,0,24,bad
3DPANB,13b,-0.18594,-0.06772,3.1979,0.0893,2.9176,0.2803,3,61,bad
3MeDPANB,13c,-0.17746,-0.05853,3.1378,0.118,2.832,0.3058,0,23,bad
3BrDPANB,13d,-0.20296,-0.08203,3.2478,0.1266,2.8964,0.3514,0,81,good
2CzAQ,14a,-0.20593,-0.1085,3.1025,0.0,2.7358,0.3667,0,0,bad
2DPAAQ,14b,-0.19071,-0.08747,2.9801,0.0,2.4274,0.5527,0,0,bad
3DPA2FBN,15,-0.18763,-0.0591,3.3304,0.2506,2.9793,0.3511,77,77,bad
5CzBN,16,-0.20063,-0.07542,3.5366,0.2738,3.2477,0.2889,31,84,good
2DPABz,17,-0.19069,-0.06958,3.0231,0.0036,2.5871,0.436,0,76,bad
DPABT,18,-0.18556,-0.05394,3.577,1.2966,2.8871,0.6899,0,76,bad
