,F1_macro
0,0.9642579642579642
1,0.9642579642579642
2,0.9808899808899808
3,1.0
4,0.9642579642579642
5,1.0
6,1.0
7,1.0
8,1.0
9,0.9642579642579642
10,1.0
11,0.9642579642579642
12,1.0
13,0.9642579642579642
14,0.9278846153846154
15,0.9642579642579642
16,0.9642579642579642
17,1.0
18,0.9642579642579642
19,0.9457421222127104
20,1.0
21,0.9449786324786325
22,0.9642579642579642
23,1.0
24,0.9642579642579642
25,1.0
26,0.9257964257964257
27,1.0
28,0.9808899808899808
29,1.0
30,0.9068640068640068
31,1.0
32,0.888888888888889
33,0.9248366013071895
34,1.0
35,0.9642579642579642
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,0.9642579642579642
42,1.0
43,1.0
44,0.9248366013071895
45,1.0
46,1.0
47,0.9642579642579642
48,0.9257964257964257
49,0.9642579642579642
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,0.8235814364846622
56,0.9642579642579642
57,1.0
58,0.9457421222127104
59,0.9642579642579642
60,1.0
61,0.9068640068640068
62,1.0
63,1.0
64,1.0
65,0.9068640068640068
66,0.9457421222127104
67,1.0
68,1.0
69,0.9248366013071895
70,1.0
71,1.0
72,0.9467141046088413
73,0.9658119658119658
74,0.9642579642579642
75,0.9642579642579642
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,0.9457421222127104
84,0.9257964257964257
85,1.0
86,0.5106481481481481
87,0.9658119658119658
88,1.0
89,1.0
90,0.8630448630448632
91,1.0
92,1.0
93,0.9642579642579642
94,0.9069444444444444
95,0.9642579642579642
96,1.0
97,1.0
98,0.9642579642579642
99,1.0
