,bad,good,very_good
0,1.0,1.0,0.8571428571428571
1,1.0,1.0,0.8571428571428571
2,0.9473684210526315,1.0,1.0
3,1.0,1.0,1.0
4,1.0,1.0,0.8571428571428571
5,1.0,1.0,1.0
6,1.0,1.0,1.0
7,1.0,1.0,1.0
8,1.0,1.0,1.0
9,1.0,1.0,0.8571428571428571
10,1.0,1.0,1.0
11,1.0,1.0,0.8571428571428571
12,1.0,1.0,1.0
13,1.0,1.0,0.8571428571428571
14,0.9473684210526315,0.9375,0.8571428571428571
15,1.0,1.0,0.8571428571428571
16,1.0,1.0,0.8571428571428571
17,1.0,1.0,1.0
18,1.0,1.0,0.8571428571428571
19,0.9473684210526315,1.0,0.8571428571428571
20,1.0,1.0,1.0
21,1.0,0.9375,0.8571428571428571
22,1.0,1.0,0.8571428571428571
23,1.0,1.0,1.0
24,1.0,1.0,0.8571428571428571
25,1.0,1.0,1.0
26,1.0,1.0,0.7142857142857143
27,1.0,1.0,1.0
28,0.9473684210526315,1.0,1.0
29,1.0,1.0,1.0
30,0.9473684210526315,1.0,0.7142857142857143
31,1.0,1.0,1.0
32,0.8947368421052632,1.0,0.7142857142857143
33,1.0,1.0,0.7142857142857143
34,1.0,1.0,1.0
35,1.0,1.0,0.8571428571428571
36,1.0,1.0,1.0
37,1.0,1.0,1.0
38,1.0,1.0,1.0
39,1.0,1.0,1.0
40,1.0,1.0,1.0
41,1.0,1.0,0.8571428571428571
42,1.0,1.0,1.0
43,1.0,1.0,1.0
44,1.0,1.0,0.7142857142857143
45,1.0,1.0,1.0
46,1.0,1.0,1.0
47,1.0,1.0,0.8571428571428571
48,1.0,1.0,0.7142857142857143
49,1.0,1.0,0.8571428571428571
50,1.0,1.0,1.0
51,1.0,1.0,1.0
52,1.0,1.0,1.0
53,1.0,1.0,1.0
54,1.0,1.0,1.0
55,1.0,0.8125,0.5714285714285714
56,1.0,1.0,0.8571428571428571
57,1.0,1.0,1.0
58,0.9473684210526315,1.0,0.8571428571428571
59,1.0,1.0,0.8571428571428571
60,1.0,1.0,1.0
61,0.9473684210526315,1.0,0.7142857142857143
62,1.0,1.0,1.0
63,1.0,1.0,1.0
64,1.0,1.0,1.0
65,0.9473684210526315,1.0,0.7142857142857143
66,0.9473684210526315,1.0,0.8571428571428571
67,1.0,1.0,1.0
68,1.0,1.0,1.0
69,1.0,1.0,0.7142857142857143
70,1.0,1.0,1.0
71,1.0,1.0,1.0
72,0.9473684210526315,1.0,0.8571428571428571
73,1.0,1.0,0.8571428571428571
74,1.0,1.0,0.8571428571428571
75,1.0,1.0,0.8571428571428571
76,1.0,1.0,1.0
77,1.0,1.0,1.0
78,1.0,1.0,1.0
79,1.0,1.0,1.0
80,1.0,1.0,1.0
81,1.0,1.0,1.0
82,1.0,1.0,1.0
83,0.9473684210526315,1.0,0.8571428571428571
84,1.0,1.0,0.7142857142857143
85,1.0,1.0,1.0
86,1.0,0.6875,0.0
87,1.0,1.0,0.8571428571428571
88,1.0,1.0,1.0
89,1.0,1.0,1.0
90,0.9473684210526315,1.0,0.5714285714285714
91,1.0,1.0,1.0
92,1.0,1.0,1.0
93,1.0,1.0,0.8571428571428571
94,1.0,0.9375,0.7142857142857143
95,1.0,1.0,0.8571428571428571
96,1.0,1.0,1.0
97,1.0,1.0,1.0
98,1.0,1.0,0.8571428571428571
99,1.0,1.0,1.0
