,AS
0,0.9047619047619048
1,0.9047619047619048
2,0.9523809523809523
3,0.9523809523809523
4,0.8571428571428571
5,1.0
6,0.6666666666666666
7,1.0
8,1.0
9,0.8809523809523809
10,0.9761904761904762
11,0.9761904761904762
12,1.0
13,0.9285714285714286
14,0.9761904761904762
15,0.8095238095238095
16,1.0
17,0.9047619047619048
18,0.9285714285714286
19,0.9523809523809523
20,1.0
21,0.9285714285714286
22,0.8333333333333334
23,0.9761904761904762
24,1.0
25,0.9523809523809523
26,0.9047619047619048
27,0.8095238095238095
28,0.8571428571428571
29,1.0
30,0.9523809523809523
31,0.9761904761904762
32,0.9285714285714286
33,0.7857142857142857
34,0.8809523809523809
35,0.9523809523809523
36,1.0
37,0.7857142857142857
38,0.9761904761904762
39,1.0
40,0.6428571428571429
41,0.9047619047619048
42,0.9761904761904762
43,0.9761904761904762
44,1.0
45,0.9047619047619048
46,1.0
47,0.9523809523809523
48,0.9761904761904762
49,0.9285714285714286
50,0.9285714285714286
51,0.9761904761904762
52,0.9761904761904762
53,0.9047619047619048
54,0.9285714285714286
55,0.6190476190476191
56,0.9523809523809523
57,0.8809523809523809
58,0.9285714285714286
59,1.0
60,0.9761904761904762
61,0.9285714285714286
62,0.9761904761904762
63,0.9761904761904762
64,1.0
65,0.8095238095238095
66,0.9523809523809523
67,0.9761904761904762
68,0.9523809523809523
69,0.9761904761904762
70,0.9047619047619048
71,0.9761904761904762
72,0.9761904761904762
73,0.9761904761904762
74,0.9761904761904762
75,1.0
76,0.9761904761904762
77,0.9047619047619048
78,0.8571428571428571
79,0.6904761904761905
80,0.8809523809523809
81,0.8571428571428571
82,0.9523809523809523
83,1.0
84,0.9285714285714286
85,1.0
86,0.7380952380952381
87,0.8571428571428571
88,0.9523809523809523
89,1.0
90,0.9047619047619048
91,0.9761904761904762
92,0.9523809523809523
93,1.0
94,0.9761904761904762
95,0.8333333333333334
96,0.9523809523809523
97,0.9761904761904762
98,1.0
99,0.9761904761904762
