,F1_macro
0,0.888888888888889
1,0.8630448630448632
2,0.9618736383442266
3,0.9457421222127104
4,0.8384208384208384
5,1.0
6,0.484643179765131
7,1.0
8,1.0
9,0.8708279708279708
10,0.9642579642579642
11,0.9642579642579642
12,1.0
13,0.9272690272690273
14,0.9642579642579642
15,0.7584795321637428
16,1.0
17,0.8621212121212122
18,0.9055944055944055
19,0.9457421222127104
20,1.0
21,0.9068640068640068
22,0.8089908089908091
23,0.9808899808899808
24,1.0
25,0.9618736383442266
26,0.888888888888889
27,0.6617305458768873
28,0.8388161917573682
29,1.0
30,0.9248366013071895
31,0.9658119658119658
32,0.9272690272690273
33,0.5713000449842555
34,0.8454545454545453
35,0.9457421222127104
36,1.0
37,0.7008547008547009
38,0.9642579642579642
39,1.0
40,0.46386630532972
41,0.8630448630448632
42,0.9642579642579642
43,0.9642579642579642
44,1.0
45,0.888888888888889
46,1.0
47,0.9248366013071895
48,0.9642579642579642
49,0.9068640068640068
50,0.9265120844068212
51,0.9642579642579642
52,0.9808899808899808
53,0.9087505087505088
54,0.9068640068640068
55,0.44949494949494956
56,0.9457421222127104
57,0.8697983697983697
58,0.9068640068640068
59,1.0
60,0.9642579642579642
61,0.9265120844068212
62,0.9642579642579642
63,0.9808899808899808
64,1.0
65,0.8011903306020952
66,0.9457421222127104
67,0.9642579642579642
68,0.9248366013071895
69,0.9642579642579642
70,0.8630448630448632
71,0.9642579642579642
72,0.9642579642579642
73,0.9658119658119658
74,0.9642579642579642
75,1.0
76,0.9642579642579642
77,0.8630448630448632
78,0.8711843711843712
79,0.5031616982836494
80,0.8697983697983697
81,0.8525971792225663
82,0.9248366013071895
83,1.0
84,0.9068640068640068
85,1.0
86,0.6048273431994362
87,0.8265083265083266
88,0.9248366013071895
89,1.0
90,0.8613282142693907
91,0.9642579642579642
92,0.9449786324786325
93,1.0
94,0.9642579642579642
95,0.7346820504715241
96,0.9248366013071895
97,0.9642579642579642
98,1.0
99,0.9642579642579642
