13a
O	-0.759638	-3.280103	0.785704
N	0.000799	-2.721637	0.000165
O	0.761574	-3.279708	-0.785332
C	0.000367	-1.253043	0.000114
C	-1.203315	-0.557189	-0.185164
N	-2.420483	-1.227872	-0.402453
C	-3.557999	-1.08543	0.400863
C	-3.718731	-0.364349	1.583024
C	-4.970956	-0.401281	2.194522
C	-6.028954	-1.144433	1.645972
C	-5.851998	-1.87764	0.475094
C	-4.606527	-1.856399	-0.159401
C	-4.074962	-2.492016	-1.349855
C	-4.621405	-3.343407	-2.314484
C	-3.821944	-3.767066	-3.372627
C	-2.487342	-3.343024	-3.47833
C	-1.918001	-2.491651	-2.533062
C	-2.722825	-2.085016	-1.470519
C	-1.189634	0.836627	-0.212101
C	-0.000483	1.543825	-1.1e-05
N	-0.000887	2.946306	-6.7e-05
C	0.966842	3.769659	-0.607964
C	2.086857	3.426863	-1.367394
C	2.864815	4.463602	-1.880594
C	2.535745	5.808862	-1.654064
C	1.406614	6.144408	-0.912658
C	0.611034	5.122924	-0.386955
C	-0.613839	5.122618	0.38692
C	-1.409902	6.143709	0.912656
C	-2.538849	5.807606	1.65409
C	-2.867254	4.462184	1.880616
C	-2.088811	3.425827	1.367376
C	-0.968985	3.769173	0.607909
C	1.189112	0.837353	0.212098
C	1.203642	-0.556447	0.185299
N	2.42122	-1.226367	0.402621
C	2.724037	-2.08344	1.470616
C	1.919513	-2.49046	2.533238
C	2.489313	-3.34166	3.478384
C	3.824073	-3.765159	3.37249
C	4.623229	-3.341118	2.31427
C	4.076322	-2.489888	1.349763
C	4.607483	-1.854012	0.159271
C	5.852891	-1.874719	-0.475367
C	6.029413	-1.141405	-1.646241
C	4.971047	-0.398664	-2.19464
C	3.718886	-0.362249	-1.582985
C	3.558579	-1.083433	-0.400828
H	-2.893884	0.185377	2.024155
H	-5.125908	0.150502	3.117075
H	-6.992365	-1.153154	2.146546
H	-6.668077	-2.463348	0.06156
H	-5.655691	-3.666681	-2.238114
H	-4.233134	-4.431905	-4.126104
H	-1.881297	-3.684449	-4.312102
H	-0.885169	-2.173163	-2.62111
H	-2.110146	1.359885	-0.435949
H	2.354409	2.395852	-1.562666
H	3.743819	4.218148	-2.469086
H	3.164682	6.592106	-2.065865
H	1.141151	7.184709	-0.747714
H	-1.144946	7.18414	0.747722
H	-3.168153	6.590539	2.065921
H	-3.746118	4.216293	2.469134
H	-2.355866	2.394691	1.562652
H	2.109306	1.361211	0.435855
H	0.886558	-2.172408	2.621437
H	1.883505	-3.683376	4.312208
H	4.235626	-4.429867	4.125885
H	5.657635	-3.663971	2.237752
H	6.669253	-2.460114	-0.061949
H	6.992768	-1.149724	-2.146931
H	5.125662	0.153201	-3.117201
H	2.893766	0.187155	-2.024008

