Name,id,RDKit_0,RDKit_1,RDKit_2,RDKit_3,RDKit_4,RDKit_5,RDKit_6,RDKit_7,Yield_2h,Yield_12h,Class
4CzIPN,3a,5.0263091607920245,2.3024615866780205,-4.09815814054339,2.6450941953184905,2.1655713010737707,0.8104135506737172,-1.8361628998686224,1.6980444921283824,56,87,good
4tBuCzIPN,3b,14.340614583738295,-3.1907890339664533,-6.166707278955739,-2.3637337698415646,-4.922238592975451,3.059226824454161,3.4112245287824075,0.5408991411749858,49,84,good
4MeCzIPN,3c,7.739329568728988,1.0672912269237915,-4.5270426573719424,1.044420011585503,0.4736556338735382,1.4355406187329849,-0.4713016520578909,1.292434590803712,45,86,good
4BrCzIPN,3d,9.297673940432578,1.4983165856046845,-0.9021808398514272,2.6041477135411077,5.683587141908703,2.2311686589814137,5.946085461427365,-0.2945659909619971,83,88,very_good
4OMeCzIPN,3e,11.557461501253096,16.313292274122343,4.146564143715417,-3.2248729871464223,-5.143811196625454,-1.9530165468716287,-0.6147550427082948,-0.9660395932007516,0,78,bad
4PhCzIPN,3f,19.94416201188793,-1.0005741857586825,-6.741505489503987,6.159966380966724,1.201443372361061,-1.7540119594620922,-3.6210221120949058,-4.630444040504945,56,87,good
4DPAIPN,3g,4.39233059186169,-1.7091994410428994,2.6967099795589755,-0.7539519114101472,2.49611670027805,-2.5991691332170204,-3.730917333623637,0.4521896847869949,91,91,very_good
4tBuDPAIPN,3h,13.821200747523992,-7.442311591362242,-0.2371194234218984,-5.821631523493879,-4.56002518787354,-0.358018411466541,1.4307468594585389,-1.040156683630599,84,84,very_good
4MeDPAIPN,3i,7.219411090626213,-3.294538094140658,1.392755572084914,-2.56542609111594,0.7740546424408413,-1.9351382569164344,-2.509822451650216,-0.0964572465946464,73,88,good
4FDPAIPN,3j,6.866989136746394,-1.8602263255012663,8.44109728166419,-4.871738757469852,1.671221414063053,6.058050434555479,-5.860409522973118,7.348034766288981,90,90,very_good
4ClDPAIPN,3k,7.746773894832757,-0.2343096552103089,7.644806103776332,-2.2272687300935674,5.96886303076562,-2.9153260407462143,6.1288579694564405,1.850803628086198,91,91,very_good
4BrDPAIPN,3l,8.6903983204025,-2.698612739577991,5.965817758715556,-0.9007491057344964,5.853405171609902,-1.1129733704099962,3.953860523419048,-1.4604782506725875,88,88,very_good
3CzClIPN,4a,0.6070961886433222,2.679452668698572,-2.678885254978015,1.482801902960008,2.762003365292622,1.4637335048339866,0.0288472803011112,2.225071882480348,58,88,good
3tBuCzClIPN,4b,7.85496223139832,-1.7547369279658045,-4.468131135586175,-2.506042317099337,-2.9164775338157343,3.166276842097377,4.017383960536802,1.4227131565385311,83,87,very_good
3OMeCzClIPN,4c,5.568633821820387,13.313423762959388,3.379110326714602,-3.217946126399306,-3.2117511101370613,-0.4696388397828819,0.8409848887782656,-0.023403993993605,0,84,good
4CzPN,5a,5.040986466334267,2.0451569519645565,-4.2541624994758696,2.5490076720067467,1.9866634631601328,0.9853665992339654,-1.9053510226145025,1.7345107864918812,18,89,good
4DPAPN,5b,4.387730503732731,-1.8781882314915883,2.779902415225824,-0.8004251531164553,2.3722147152380018,-2.493319429807098,-3.768765342603407,0.5187577247511173,91,91,very_good
4CzTPN,6a,5.0563049802417375,2.2585705714015343,-4.159354287659895,2.613753774889438,2.1660965323905343,0.7207572298494183,-1.7970595347818712,1.750813926092183,15,83,good
4DPATPN,6b,4.336475420027449,-1.6122232850026288,3.017107058123223,-0.5989148445460565,2.516760567199053,-2.732427440046973,-3.735925412116676,0.5248828766307684,90,91,very_good
1CzTRZ,7a,-6.86721659425374,2.762713965589052,-3.781249369486916,1.4976151346580877,0.319535393382273,-0.4971559184189099,0.9035402273710416,0.1665731006060918,0,75,bad
1tBuCzTRZ,7b,-3.981473374216979,0.6859180314896476,-3.605867554978784,-0.3699999765200762,-2.253291171843095,0.4923762979088674,2.191882740266828,0.158477780256845,64,83,good
1DPATRZ,7c,-6.516228323139918,1.4426059035566694,-1.808416953200017,0.5430428060858777,0.5509566232183634,-1.743228949433809,-0.0099993003492088,-0.1708363325405644,80,81,very_good
1tBuDPATRZ,7d,-3.804794870588853,-0.4611654052916811,-2.0082319460151883,-1.0234629306267031,-2.136223796384222,-0.7934343899707988,1.4867691355786468,-0.2090994877342752,62,88,good
1ClDPATRZ,7e,-5.787832898062914,1.7170109823510558,-0.3494679359482039,0.5254444488758777,1.635229159612114,-1.480077266756366,2.51359232929007,-0.204672090345456,58,90,good
1BrDPATRZ,7f,-5.447256719883261,1.1940595011536872,-0.58113077672835,0.6362894305058358,2.210541368060352,-0.9126995692880964,3.0216452951547685,-1.5481342826747082,63,83,good
1OMeDPATRZ,7g,-5.024071543953262,6.075455941851302,0.7494030385631162,-1.3829854039357434,-2.1387174452032376,-2.276539842325719,0.1736612345211082,-1.795043473789134,1,75,bad
1PhDPATRZ,7h,-2.579167256548566,0.2188536112583255,-2.2130220587021894,1.155192085011444,-0.0155246399154388,-2.60464647891986,-0.5206183934117874,-1.3849925503607894,71,85,good
