,RDKit_0,RDKit_1,RDKit_2,RDKit_3,RDKit_4,RDKit_5,RDKit_6,RDKit_7,Yield_2h,Yield_12h
RDKit_0,1.0,1.1273377959564484e-14,5.7263256961677895e-15,1.530676486203748e-16,1.9354405738849e-17,2.3370368717832965e-16,3.6503666221022015e-17,2.690256272513998e-16,0.49885391387491024,0.3380177295751485
RDKit_1,1.1273377959564484e-14,1.0,4.91217053226167e-16,5.989230516196057e-16,2.3381505876856655e-16,1.2487233867274125e-16,5.615347541961658e-16,3.4027779681960296e-16,0.28525629271326564,0.006498865495696044
RDKit_2,5.7263256961677895e-15,4.91217053226167e-16,1.0,8.668143552817632e-17,3.4208130435890304e-16,8.851324885716663e-17,1.6874651203957087e-16,1.0718811843519279e-17,0.06957447378644069,0.09476968196824523
RDKit_3,1.530676486203748e-16,5.989230516196057e-16,8.668143552817632e-17,1.0,5.270978307494169e-16,3.225347407485993e-17,8.660230655039807e-16,8.277962761704414e-16,0.10499468902998552,0.15563556969330458
RDKit_4,1.9354405738849e-17,2.3381505876856655e-16,3.4208130435890304e-16,5.270978307494169e-16,1.0,3.857725074593618e-16,2.112997107361744e-18,2.6347575870903003e-16,0.2587705252465695,0.37323210831824405
RDKit_5,2.3370368717832965e-16,1.2487233867274125e-16,8.851324885716663e-17,3.225347407485993e-17,3.857725074593618e-16,1.0,4.109406103039966e-16,5.534788109126437e-16,0.09000193150366606,0.03188285886073879
RDKit_6,3.6503666221022015e-17,5.615347541961658e-16,1.6874651203957087e-16,8.660230655039807e-16,2.112997107361744e-18,4.109406103039966e-16,1.0,1.0654591290049404e-16,0.0592526037325547,0.09988567042567104
RDKit_7,2.690256272513998e-16,3.4027779681960296e-16,1.0718811843519279e-17,8.277962761704414e-16,2.6347575870903003e-16,5.534788109126437e-16,1.0654591290049404e-16,1.0,0.18849407613743036,0.03615150121737284
Yield_2h,0.49885391387491024,0.28525629271326564,0.06957447378644069,0.10499468902998552,0.2587705252465695,0.09000193150366606,0.0592526037325547,0.18849407613743036,1.0,0.5766904090437206
Yield_12h,0.3380177295751485,0.006498865495696044,0.09476968196824523,0.15563556969330458,0.37323210831824405,0.03188285886073879,0.09988567042567104,0.03615150121737284,0.5766904090437206,1.0
