,HOMO,LUMO,E_S1,f_S1,E_T1,dEST,Yield_2h,Yield_12h
HOMO,1.0,0.8399168550405891,0.05868047228722716,0.21094589473883277,0.3561440106033914,0.4956005286775101,0.25356103715675565,0.2587348522867519
LUMO,0.8399168550405891,1.0,0.40817879931086115,0.4610678969953992,0.016356552044838046,0.5862306064439842,0.22461165627094723,0.0991271034937122
E_S1,0.05868047228722716,0.40817879931086115,1.0,0.5127937621396632,0.8007043760115865,0.18950807585923612,0.14504761917884143,0.16779540327356327
f_S1,0.21094589473883277,0.4610678969953992,0.5127937621396632,1.0,0.14599574608071367,0.5308677042139281,0.1378287429761399,0.23829490209407142
E_T1,0.3561440106033914,0.016356552044838046,0.8007043760115865,0.14599574608071367,1.0,0.4364642727498063,0.02846843673130177,0.34401770720675917
dEST,0.4956005286775101,0.5862306064439842,0.18950807585923612,0.5308677042139281,0.4364642727498063,1.0,0.2645062656176866,0.31184651029145555
Yield_2h,0.25356103715675565,0.22461165627094723,0.14504761917884143,0.1378287429761399,0.02846843673130177,0.2645062656176866,1.0,0.5766904090437206
Yield_12h,0.2587348522867519,0.0991271034937122,0.16779540327356327,0.23829490209407142,0.34401770720675917,0.31184651029145555,0.5766904090437206,1.0
